Dataset: West Coast Triennial,,,,,,
Species Name: Chinook salmon (Oncorhynchus tshawytscha),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
004-197701-101,36.5-50,36.96,-122.28,99,1977,0
004-197701-105,37.5-150,37.07,-122.62,124,1977,0
004-197701-106,37.5-150,37.09,-122.55,110,1977,0
004-197701-107,37.5-150,37.33,-122.77,110,1977,0
004-197701-108,37.5-150,37.32,-122.83,144,1977,0
004-197701-112,37.5-150,37.98,-123.17,104,1977,0
004-197701-114,37.5-150,37.95,-123.39,121,1977,0
004-197701-118,38.5-50,38.07,-123.18,97,1977,2.37039494851995
004-197701-119,38.5-150,38.07,-123.26,121,1977,0
004-197701-120,38.5-150,38.06,-123.35,183,1977,0
004-197701-123,38.5-250,38.05,-123.52,227,1977,0
004-197701-124,38.5-350,38.05,-123.52,320,1977,0
004-197701-127,38.5-350,38.2,-123.49,366,1977,0
004-197701-128,38.5-150,38.22,-123.21,101,1977,0
004-197701-129,38.5-150,38.24,-123.25,112,1977,0
004-197701-130,38.5-150,38.2,-123.3,126,1977,0
004-197701-131,38.5-350,38.38,-123.59,366,1977,0
004-197701-132,38.5-350,38.4,-123.6,342,1977,0
004-197701-133,38.5-250,38.4,-123.55,201,1977,0
004-197701-134,38.5-150,38.43,-123.49,154,1977,0
004-197701-135,38.5-50,38.51,-123.37,95,1977,0
004-197701-136,38.5-50,38.76,-123.65,93,1977,0
004-197701-138,38.5-250,38.71,-123.79,207,1977,0
004-197701-139,38.5-350,38.69,-123.79,315,1977,0
004-197701-141,38.5-150,38.89,-123.84,119,1977,0
004-197701-142,38.5-150,38.9,-123.8,104,1977,0
004-197701-143,38.5-250,38.88,-123.92,245,1977,0
004-197701-144,38.5-350,38.9,-123.95,318,1977,0
004-197701-149,39.5-150,39.08,-123.83,104,1977,0
004-197701-150,39.5-150,39.06,-123.9,130,1977,0
004-197701-154,39.5-150,39.23,-123.93,146,1977,0
004-197701-155,39.5-150,39.21,-123.89,130,1977,0
004-197701-156,39.5-150,39.3,-123.93,154,1977,0
004-197701-157,39.5-150,39.31,-123.95,187,1977,0
004-197701-162,39.5-150,39.41,-123.88,106,1977,0
004-197701-163,39.5-150,39.38,-123.96,196,1977,0
004-197701-164,43.5-150,43,-124.64,123,1977,0
004-197701-165,42.5-50,42.99,-124.59,95,1977,0.909950128700129
004-197701-166,43.5-150,43.14,-124.64,141,1977,0
004-197701-167,43.5-250,43.13,-124.73,238,1977,0
004-197701-169,43.5-350,43.37,-124.68,307,1977,0
004-197701-170,43.5-250,43.34,-124.67,205,1977,0
004-197701-172,43.5-50,43.3,-124.52,99,1977,0
004-197701-176,43.5-350,43.1,-124.88,375,1977,0
004-197701-177,43.5-250,43.1,-124.84,283,1977,0
004-197701-178,43.5-250,43.08,-124.83,205,1977,0
004-197701-179,43.5-150,43.06,-124.76,192,1977,0
004-197701-180,43.5-150,43.76,-124.32,106,1977,0
004-197701-183,44.5-250,44.09,-124.95,276,1977,0
004-197701-184,44.5-250,44.09,-124.94,229,1977,0
004-197701-185,44.5-150,44.08,-124.73,108,1977,0
004-197701-186,44.5-150,44.08,-124.62,126,1977,0
004-197701-187,44.5-150,44.08,-124.52,128,1977,0
004-197701-188,44.5-150,44.08,-124.47,121,1977,0
