species,haul_id,stratum,lat,long,depth,year,wtcpue
dungeness,2.00303E+11,43.5-183,41.69027778,-124.2941667,62.6,2003,27.88902948
dungeness,2.00303E+11,43.5-183,41.52388889,-124.4672222,153.5,2003,0.405566897
dungeness,2.00303E+11,40.5-183,39.24777778,-123.8355556,95.6,2003,7.701278756
dungeness,2.00303E+11,40.5-183,37.06444444,-122.5119444,116.8,2003,0.227590334
dungeness,2.00303E+11,40.5-183,36.36527778,-121.9958333,133.6,2003,0.389849564
dungeness,2.00303E+11,35.5-183,35.08972222,-120.7522222,55.7,2003,1.091339909
dungeness,2.00303E+11,35.5-549,34.83555556,-120.8825,207.4,2003,0.264999451
dungeness,2.00303E+11,35.5-183,34.79305556,-120.6983333,48.4,2003,1.757272785
dungeness,2.00303E+11,35.5-183,34.6575,-120.7041667,54.8,2003,0.93627895
dungeness,2.00303E+11,43.5-183,41.60388889,-124.2947222,62.1,2003,6.187162948
dungeness,2.00303E+11,43.5-183,41.47027778,-124.3163889,83.3,2003,5.039269739
dungeness,2.00303E+11,43.5-549,41.16361111,-124.3838889,295.1,2003,0.284092553
dungeness,2.00303E+11,43.5-183,40.63555556,-124.4663889,89.6,2003,0.859166543
dungeness,2.00303E+11,43.5-183,40.99083333,-124.3072222,103.7,2003,0.21999844
dungeness,2.00303E+11,43.5-549,40.92416667,-124.3966667,183.9,2003,9.639145495
dungeness,2.00303E+11,40.5-183,39.54833333,-123.8563889,101.9,2003,0.641801756
dungeness,2.00303E+11,40.5-183,38.07694444,-123.1244444,79.9,2003,0.734634105
dungeness,2.00303E+11,40.5-183,37.96777778,-122.9686111,64.3,2003,15.21687502
dungeness,2.00303E+11,40.5-183,37.66666667,-122.8269444,60.7,2003,36.25531907
dungeness,2.00303E+11,40.5-183,37.45638889,-122.9263889,168.9,2003,3.262188305
dungeness,2.00303E+11,40.5-183,37.26083333,-122.5861111,93.4,2003,12.78401904
dungeness,2.00303E+11,40.5-183,37.16111111,-122.4377778,61,2003,35.27192596
dungeness,2.00303E+11,40.5-549,37.13888889,-122.7427778,362.1,2003,0.7138976
dungeness,2.00303E+11,35.5-183,34.87138889,-120.825,139.7,2003,0.653349478
dungeness,2.00303E+11,35.5-183,34.73472222,-120.6822222,47.2,2003,0.311946226
dungeness,2.00303E+11,43.5-183,41.56972222,-124.3127778,71.9,2003,1.087647754
dungeness,2.00303E+11,43.5-183,41.40083333,-124.3972222,112.2,2003,0.31844747
dungeness,2.00303E+11,43.5-183,40.80666667,-124.3516667,67.5,2003,0.262849814
dungeness,2.00303E+11,40.5-183,38.06138889,-123.0769444,63.7,2003,13.37288667
dungeness,2.00303E+11,40.5-183,37.94138889,-123.1322222,92.7,2003,12.44776553
dungeness,2.00303E+11,40.5-183,37.49694444,-122.6758333,64.3,2003,17.21490051
dungeness,2.00303E+11,40.5-183,37.36638889,-122.8691667,168.1,2003,2.153950506
dungeness,2.00303E+11,40.5-183,37.21111111,-122.5602778,90.7,2003,3.965406715
dungeness,2.00303E+11,35.5-183,35.4075,-121.0191667,104.8,2003,1.307150293
dungeness,2.00303E+11,35.5-183,34.82777778,-120.7219444,61,2003,1.060949755
dungeness,2.00303E+11,43.5-183,41.36388889,-124.1902778,60.4,2003,1.299983681
dungeness,2.00303E+11,40.5-183,39.8375,-123.9680556,117.8,2003,0.437452153
dungeness,2.00303E+11,40.5-183,38.00722222,-123.1958333,105.5,2003,1.925776009
dungeness,2.00303E+11,40.5-183,37.795,-122.8822222,58.4,2003,37.18994576
dungeness,2.00303E+11,40.5-183,37.53861111,-122.9586111,134.8,2003,1.31160361
dungeness,2.00303E+11,40.5-183,37.37694444,-122.5511111,63.6,2003,10.47847535
dungeness,2.00303E+11,40.5-183,37.15222222,-122.5638889,99.6,2003,7.643142959
dungeness,2.00303E+11,40.5-549,36.96111111,-122.3922222,205.9,2003,1.554531376
dungeness,2.00303E+11,40.5-183,36.80777778,-121.8205556,36.1,2003,0.607997836
dungeness,2.00303E+11,40.5-183,35.50722222,-121.1330556,93.2,2003,0.400544623
dungeness,2.00303E+11,35.5-183,34.96555556,-120.7733333,84.4,2003,1.95366782
dungeness,2.00303E+11,35.5-183,34.52611111,-120.6447222,67.7,2003,0.366768716
dungeness,2.00403E+11,43.5-183,41.89916667,-124.3858333,64.3,2004,10.1050409
dungeness,2.00403E+11,43.5-183,41.57555556,-124.385,103.2,2004,3.108518603
dungeness,2.00403E+11,43.5-1280,41.64083333,-124.6888889,835.3,2004,0.230215777
dungeness,2.00403E+11,43.5-183,40.80555556,-124.35,70.4,2004,9.591856127
dungeness,2.00403E+11,40.5-183,39.97583333,-124.1580556,129.1,2004,16.56092929
dungeness,2.00403E+11,40.5-183,39.71166667,-123.9413889,144.9,2004,4.447657567
dungeness,2.00403E+11,40.5-183,39.33472222,-123.8605556,101.1,2004,28.7012013
dungeness,2.00403E+11,40.5-183,38.88888889,-123.8383333,118.5,2004,5.064743486
dungeness,2.00403E+11,40.5-183,38.88,-123.7838889,98.4,2004,0.954827394
dungeness,2.00403E+11,40.5-183,38.37722222,-123.2511111,97.2,2004,1.20520637
dungeness,2.00403E+11,40.5-183,38.21027778,-123.3091667,128.6,2004,7.354900132
dungeness,2.00403E+11,40.5-549,38.17222222,-123.4055556,273.7,2004,2.088952959
dungeness,2.00403E+11,40.5-183,38.17555556,-123.2763889,121.2,2004,11.69785945
dungeness,2.00403E+11,40.5-183,38.00638889,-123.2563889,114.2,2004,12.50415029
dungeness,2.00403E+11,40.5-183,37.96611111,-123.2897222,111.7,2004,13.70929476
dungeness,2.00403E+11,40.5-183,37.86472222,-123.3377778,116.7,2004,8.690062741
dungeness,2.00403E+11,40.5-183,37.82083333,-123.3302778,150.4,2004,1.294591098
dungeness,2.00403E+11,40.5-183,37.65888889,-123.0533333,114.3,2004,24.86374328
dungeness,2.00403E+11,40.5-183,36.95277778,-122.2266667,81.3,2004,39.79237793
dungeness,2.00403E+11,40.5-183,36.9775,-122.3725,161.4,2004,9.863001491
dungeness,2.00403E+11,40.5-183,37.05722222,-122.4986111,115.9,2004,0.731866283
dungeness,2.00403E+11,40.5-183,37.14777778,-122.4133333,52.7,2004,8.815622584
dungeness,2.00403E+11,40.5-549,37.27027778,-122.8338889,212.3,2004,0.926916329
dungeness,2.00403E+11,40.5-183,38.03277778,-123.1236111,78.1,2004,32.70166583
dungeness,2.00403E+11,40.5-183,37.96277778,-123.0066667,61.8,2004,63.73410996
dungeness,2.00403E+11,40.5-183,36.75611111,-121.9277778,99.7,2004,1.324266035
dungeness,2.00403E+11,35.5-183,34.72722222,-120.7225,66.8,2004,1.297319774
dungeness,2.00403E+11,35.5-183,34.7025,-120.7361111,72.4,2004,1.774508666
dungeness,2.00403E+11,40.5-183,38.47333333,-123.3022222,87.7,2004,13.2499197
dungeness,2.00403E+11,40.5-183,38.205,-123.0286111,63.3,2004,8.995055763
dungeness,2.00403E+11,40.5-183,38.07166667,-123.2844444,123.1,2004,0.915811947
dungeness,2.00403E+11,40.5-183,38.07138889,-123.2219444,109.7,2004,9.132275704
dungeness,2.00403E+11,40.5-183,37.93833333,-123.1286111,91.4,2004,7.016483645
dungeness,2.00403E+11,40.5-183,37.61972222,-122.8480556,70.5,2004,5.610564724
dungeness,2.00403E+11,40.5-183,37.08944444,-122.4752778,97.7,2004,1.020379254
dungeness,2.00403E+11,35.5-183,35.04138889,-120.7402778,56.9,2004,8.317141002
dungeness,2.00403E+11,43.5-183,41.25444444,-124.2205556,69.7,2004,16.1898471
dungeness,2.00403E+11,43.5-183,41.27833333,-124.3863889,154.9,2004,6.726328411
dungeness,2.00403E+11,43.5-183,40.73638889,-124.4747222,126.6,2004,1.88103966
dungeness,2.00403E+11,43.5-183,40.57111111,-124.4666667,71.2,2004,18.23620399
dungeness,2.00403E+11,43.5-183,40.54722222,-124.5438889,99.8,2004,0.010576068
dungeness,2.00403E+11,40.5-183,40.0975,-124.2311111,125,2004,19.8513254
dungeness,2.00403E+11,40.5-183,39.17888889,-123.8666667,118.1,2004,77.9195581
dungeness,2.00403E+11,40.5-183,39.03416667,-123.8002778,85.2,2004,3.383158118
dungeness,2.00403E+11,40.5-183,38.77083333,-123.6447222,90.6,2004,7.558661081
dungeness,2.00403E+11,40.5-183,38.77611111,-123.6202778,75.1,2004,5.065809202
dungeness,2.00403E+11,40.5-183,38.47583333,-123.4061111,120.7,2004,0.692333978
dungeness,2.00403E+11,40.5-183,38.31194444,-123.2530556,101.6,2004,4.517634003
dungeness,2.00403E+11,40.5-183,38.17972222,-123.2541667,113.3,2004,3.866465439
dungeness,2.00403E+11,40.5-183,38.24361111,-123.2172222,100.1,2004,7.99516288
dungeness,2.00403E+11,40.5-183,38.175,-123.0894444,78.6,2004,26.89851422
dungeness,2.00403E+11,40.5-183,38.005,-123.1275,80.4,2004,28.45520558
dungeness,2.00403E+11,40.5-183,37.85805556,-123.1388889,92.3,2004,1.922492705
dungeness,2.00403E+11,40.5-549,37.57777778,-123.0088889,215.5,2004,9.130049113
dungeness,2.00403E+11,40.5-549,37.42916667,-122.8763889,183.2,2004,9.123502041
dungeness,2.00403E+11,40.5-183,37.36083333,-122.7766667,102.8,2004,2.936236692
dungeness,2.00403E+11,40.5-183,37.55916667,-122.7322222,61.5,2004,37.12472638
dungeness,2.00403E+11,40.5-183,37.63,-122.8255556,65.4,2004,62.92168406
dungeness,2.00403E+11,40.5-183,37.1175,-122.4661111,86,2004,0.138376218
dungeness,2.00403E+11,40.5-183,36.74111111,-121.9569444,108.2,2004,1.72123103
dungeness,2.00403E+11,35.5-183,34.89972222,-120.7511111,73.9,2004,6.95520115
dungeness,2.00503E+11,43.5-183,41.37388889,-124.4552778,174.5,2005,20.98227589
dungeness,2.00503E+11,43.5-183,41.23166667,-124.2875,98.6,2005,8.310361736
dungeness,2.00503E+11,43.5-183,41.16416667,-124.3513889,173.9,2005,27.32345737
dungeness,2.00503E+11,43.5-549,41.00777778,-124.4883333,529,2005,2.483323002
dungeness,2.00503E+11,43.5-183,41.00861111,-124.3063889,105.5,2005,6.190300008
dungeness,2.00503E+11,43.5-183,40.90833333,-124.275,69.9,2005,3.625565576
dungeness,2.00503E+11,40.5-1280,39.54861111,-124.0402778,727.3,2005,0.237352838
dungeness,2.00503E+11,40.5-183,38.80916667,-123.6827778,85.6,2005,2.88954333
dungeness,2.00503E+11,40.5-183,38.36444444,-123.4572222,168.2,2005,0.280452742
dungeness,2.00503E+11,40.5-183,38.33972222,-123.4552778,181.3,2005,0.430807735
dungeness,2.00503E+11,40.5-183,38.2675,-123.3513889,137.6,2005,0.939778878
dungeness,2.00503E+11,40.5-549,38.11833333,-123.4063889,236.3,2005,2.716371257
