year,comm_name,value_usd,landings_mt,landings_kg,landings_lb,price_usd_lb,average_temp
2003,Market squid,25378383,45060.5,45060500,99341384.95157,0.26,15.856765838701724
2004,Market squid,20198340,41025.6,41025600,90445954.271904,0.22,15.942036749867516
2005,Market squid,31465321,55739.5,55739500,122884546.92043,0.26,15.693732820938612
2006,Market squid,26948240,49158.3,49158300,108375486.376422,0.25,15.521851679568837
2007,Market squid,29096065,49474.3,49474300,109072147.03586201,0.27,15.264978162834264
2008,Market squid,26456767,38100.3,38100300,83996772.54070202,0.31,14.827833201931812
2009,Market squid,56873281,93106,93106000,205263567.58804002,0.28,15.319821394214744
2010,Market squid,71159161,130844.7,130844700,288463148.690598,0.25,15.18923391137181
2011,Market squid,66518784,121512.8,121512800,267889833.47595203,0.25,15.04540869494758
2012,Market squid,63918847,97732.8,97732800,215463914.23075202,0.3,15.124938225066046
2013,Market squid,73729656,104411.6,104411600,230188145.91514403,0.32,15.579076644862958
2014,Market squid,72903267,104092.3,104092300,229484210.00198203,0.32,16.758029058109297
2015,Market squid,24452744,36806.3,36806300,81143991.23274201,0.3,17.2599708531913
2016,Market squid,39122202,37091.7,37091700,81773190.44857801,0.48,16.456440389898546
2017,Market squid,68702771,62411.7,62411700,137594228.09737802,0.5,15.96910119119164
2018,Market squid,35767673,33178.2,33178199.999999996,73145400.920988,0.49,16.04005557056902
2019,Market squid,13486861,12350.3,12350300,27227747.285702,0.5,16.112375161089503
2020,Market squid,26106606,20443.9,20443900,45071078.656726,0.58,16.032802469885436
2021,Market squid,926712,698.6,698600,1540149.1667240001,0.6,15.423088717143468
2003,Market squid,5105,12.2,12200,26896.392548000003,0.19,15.856765838701724
2004,Market squid,5539,19.7,19700,43431.060098,0.13,15.942036749867516
2005,Market squid,5214,14.5,14500,31967.023930000003,0.16,15.693732820938612
2006,Market squid,15636,27.2,27200,59965.72764800001,0.26,15.521851679568837
2007,Market squid,295,0.6,600,1322.773404,0.21,15.264978162834264
2008,Market squid,0,0,0,0,0,14.827833201931812
2009,Market squid,0,0.2,200,440.92446800000005,0,15.319821394214744
2010,Market squid,0,7.6,7600,16755.129784,0,15.18923391137181
2011,Market squid,1,0,0,0,0.02,15.04540869494758
2016,Market squid,1140859,1260.2,1260200,2778265.0728680003,0.41,16.456440389898546
2018,Market squid,3073449,3196.2,3196200,7046413.923108,0.44,16.04005557056902
2019,Market squid,2885816,2380.6,2380600,5248323.942604001,0.55,16.112375161089503
2020,Market squid,5999833,4670.8,4670800,10297350.025672002,0.58,16.032802469885436
