year,comm_name,value_usd,landings_mt,landings_kg,landings_lb,price_usd_lb,average_temp
2003,Red sea urchin,7881502,5032.9,5032900,11095643.774986,0.71,15.856765838701724
2004,Red sea urchin,7305519,5546,5546000,12226835.49764,0.6,15.942036749867516
2005,Red sea urchin,6152305,5125,5125000,11298689.492500002,0.54,15.693732820938612
2006,Red sea urchin,5142063,4835,4835000,10659349.0139,0.48,15.521851679568837
2007,Red sea urchin,5396466,5047.6,5047600,11128051.723384,0.48,15.264978162834264
2008,Red sea urchin,6535245,4659.5,4659500,10272437.79323,0.64,14.827833201931812
2009,Red sea urchin,7789597,5534.7,5534700,12201923.265198002,0.64,15.319821394214744
2010,Red sea urchin,7377574,5090.1,5090100,11221748.172834001,0.66,15.18923391137181
2011,Red sea urchin,8191744,5245.7,5245700,11564787.408938002,0.71,15.04540869494758
2012,Red sea urchin,8997322,5495.2,5495200,12114840.682768,0.74,15.124938225066046
2013,Red sea urchin,10728739,6319.8,6319800,13932772.264332002,0.77,15.579076644862958
2014,Red sea urchin,9681958,5670.5,5670500,12501310.97897,0.77,16.758029058109297
2015,Red sea urchin,7307988,3846.9,3846900,8480961.679746,0.86,17.2599708531913
2016,Red sea urchin,7269519,2669.2,2669200,5884577.949928001,1.24,16.456440389898546
2017,Red sea urchin,6382239,1903.7,1903700,4196939.548658,1.52,15.96910119119164
2018,Red sea urchin,5695338,1464.9,1464900,3229551.265866,1.76,16.04005557056902
2019,Red sea urchin,5124471,1078.1,1078100,2376803.344754,2.16,16.112375161089503
2020,Red sea urchin,4608160,843.1,843100,1858717.0948540003,2.48,16.032802469885436
2021,Red sea urchin,127929,28.9,28900,63713.58562600001,2.01,15.423088717143468
2003,Red sea urchin,60501,65.2,65200,143741.376568,0.42,15.856765838701724
2004,Red sea urchin,122670,150.5,150500,331795.66217,0.37,15.942036749867516
2005,Red sea urchin,147883,224.1,224100,494055.86639400007,0.3,15.693732820938612
2006,Red sea urchin,166185,202.7,202700,446876.94831800007,0.37,15.521851679568837
2007,Red sea urchin,159404,195.4,195400,430783.20523600007,0.37,15.264978162834264
2008,Red sea urchin,222187,267.1,267100,588854.6270140001,0.38,14.827833201931812
2011,Red sea urchin,313488,266.8,266800,588193.240312,0.53,15.04540869494758
2003,Red sea urchin,153818,96,96000,211643.74464000002,0.73,15.856765838701724
2004,Red sea urchin,285308,192.3,192300,423948.875982,0.67,15.942036749867516
2005,Red sea urchin,162256,107.1,107100,236115.05261400001,0.69,15.693732820938612
2006,Red sea urchin,154860,86.5,86500,190699.83241000003,0.81,15.521851679568837
2007,Red sea urchin,149336,112.4,112400,247799.551016,0.6,15.264978162834264
2008,Red sea urchin,74927,55.3,55300,121915.61540200001,0.61,14.827833201931812
2009,Red sea urchin,23817,16.7,16700,36817.193078000004,0.65,15.319821394214744
2010,Red sea urchin,31311,24.7,24700,54454.171798,0.57,15.18923391137181
2011,Red sea urchin,51657,34.7,34700,76500.39519800001,0.68,15.04540869494758
2012,Red sea urchin,166879,117.1,117100,258161.27601400003,0.65,15.124938225066046
2013,Red sea urchin,163959,112,112000,246917.70208000002,0.66,15.579076644862958
2014,Red sea urchin,165709,93.7,93700,206573.11325800003,0.8,16.758029058109297
2015,Red sea urchin,432286,219.6,219600,484135.06586400006,0.89,17.2599708531913
2016,Red sea urchin,619885,211.1,211100,465395.77597400005,1.33,16.456440389898546
2017,Red sea urchin,867050,251.1,251100,553580.669574,1.57,15.96910119119164
2018,Red sea urchin,711681,192.2,192200,423728.41374800005,1.68,16.04005557056902
2019,Red sea urchin,1270591,333.5,333500,735241.5503900001,1.73,16.112375161089503
2020,Red sea urchin,518619,98.4,98400,216934.83825600002,2.39,16.032802469885436
